theta R_M2P T_M2P R_P2M T_P2M
2.261e-01 2.319e-03 9.977e-01 2.409e-03 9.976e-01
2.286e-01 2.334e-03 9.977e-01 2.432e-03 9.976e-01
2.312e-01 2.350e-03 9.976e-01 2.456e-03 9.975e-01
2.337e-01 2.368e-03 9.976e-01 2.482e-03 9.975e-01
2.362e-01 2.386e-03 9.976e-01 2.510e-03 9.975e-01
2.387e-01 2.406e-03 9.976e-01 2.540e-03 9.975e-01
2.412e-01 2.426e-03 9.976e-01 2.571e-03 9.974e-01
2.437e-01 2.448e-03 9.976e-01 2.605e-03 9.974e-01
2.462e-01 2.472e-03 9.975e-01 2.641e-03 9.974e-01
2.487e-01 2.496e-03 9.975e-01 2.680e-03 9.973e-01
2.513e-01 2.523e-03 9.975e-01 2.722e-03 9.973e-01
2.538e-01 2.550e-03 9.974e-01 2.766e-03 9.972e-01
2.563e-01 2.580e-03 9.974e-01 2.814e-03 9.972e-01
2.588e-01 2.611e-03 9.974e-01 2.864e-03 9.971e-01
2.613e-01 2.645e-03 9.974e-01 2.919e-03 9.971e-01
2.638e-01 2.680e-03 9.973e-01 2.978e-03 9.970e-01
2.663e-01 2.717e-03 9.973e-01 3.041e-03 9.970e-01
2.688e-01 2.757e-03 9.972e-01 3.108e-03 9.969e-01
2.714e-01 2.800e-03 9.972e-01 3.181e-03 9.968e-01
2.739e-01 2.845e-03 9.972e-01 3.259e-03 9.967e-01
2.764e-01 2.892e-03 9.971e-01 3.343e-03 9.967e-01
2.789e-01 2.943e-03 9.971e-01 3.433e-03 9.966e-01
2.814e-01 2.997e-03 9.970e-01 3.530e-03 9.965e-01
2.839e-01 3.055e-03 9.969e-01 3.635e-03 9.964e-01
2.864e-01 3.116e-03 9.969e-01 3.749e-03 9.963e-01
2.889e-01 3.182e-03 9.968e-01 3.871e-03 9.961e-01
2.915e-01 3.251e-03 9.967e-01 4.003e-03 9.960e-01
2.940e-01 3.325e-03 9.967e-01 4.146e-03 9.959e-01
2.965e-01 3.404e-03 9.966e-01 4.301e-03 9.957e-01
2.990e-01 3.488e-03 9.965e-01 4.469e-03 9.955e-01
3.015e-01 3.577e-03 9.964e-01 4.652e-03 9.953e-01
3.040e-01 3.673e-03 9.963e-01 4.850e-03 9.952e-01
3.065e-01 3.775e-03 9.962e-01 5.065e-03 9.949e-01
3.090e-01 3.884e-03 9.961e-01 5.300e-03 9.947e-01
3.116e-01 4.000e-03 9.960e-01 5.555e-03 9.944e-01
3.141e-01 4.124e-03 9.959e-01 5.835e-03 9.942e-01
3.166e-01 4.257e-03 9.957e-01 6.140e-03 9.939e-01
3.191e-01 4.398e-03 9.956e-01 6.474e-03 9.935e-01
3.216e-01 4.550e-03 9.954e-01 6.841e-03 9.932e-01
3.241e-01 4.713e-03 9.953e-01 7.243e-03 9.928e-01
3.266e-01 4.887e-03 9.951e-01 7.686e-03 9.923e-01
3.291e-01 5.073e-03 9.949e-01 8.174e-03 9.918e-01
3.317e-01 5.273e-03 9.947e-01 8.714e-03 9.913e-01
3.342e-01 5.487e-03 9.945e-01 9.310e-03 9.907e-01
3.367e-01 5.717e-03 9.943e-01 9.972e-03 9.900e-01
3.392e-01 5.963e-03 9.940e-01 1.071e-02 9.893e-01
3.417e-01 6.228e-03 9.938e-01 1.153e-02 9.885e-01
3.442e-01 6.513e-03 9.935e-01 1.244e-02 9.876e-01
3.467e-01 6.820e-03 9.932e-01 1.347e-02 9.865e-01
3.492e-01 7.149e-03 9.929e-01 1.462e-02 9.854e-01
3.518e-01 7.504e-03 9.925e-01 1.592e-02 9.841e-01
3.543e-01 7.887e-03 9.921e-01 1.740e-02 9.826e-01
3.568e-01 8.299e-03 9.917e-01 1.907e-02 9.809e-01
3.593e-01 8.744e-03 9.913e-01 2.097e-02 9.790e-01
3.618e-01 9.224e-03 9.908e-01 2.316e-02 9.768e-01
3.643e-01 9.742e-03 9.903e-01 2.567e-02 9.743e-01
3.668e-01 1.030e-02 9.897e-01 2.859e-02 9.714e-01
3.693e-01 1.091e-02 9.891e-01 3.198e-02 9.680e-01
3.719e-01 1.157e-02 9.884e-01 3.596e-02 9.640e-01
3.744e-01 1.228e-02 9.877e-01 4.066e-02 9.593e-01
3.769e-01 1.305e-02 9.870e-01 4.627e-02 9.537e-01
3.794e-01 1.389e-02 9.861e-01 5.302e-02 9.470e-01
3.819e-01 1.479e-02 9.852e-01 6.125e-02 9.388e-01
3.844e-01 1.578e-02 9.842e-01 7.141e-02 9.286e-01
3.869e-01 1.685e-02 9.831e-01 8.419e-02 9.158e-01
3.894e-01 1.802e-02 9.820e-01 1.006e-01 8.994e-01
3.920e-01 1.930e-02 9.807e-01 1.222e-01 8.778e-01
3.945e-01 2.068e-02 9.793e-01 1.517e-01 8.483e-01
3.970e-01 2.220e-02 9.778e-01 1.942e-01 8.058e-01
3.995e-01 2.385e-02 9.761e-01 2.607e-01 7.393e-01
4.020e-01 2.566e-02 9.743e-01 3.828e-01 6.172e-01
4.045e-01 2.764e-02 9.724e-01 8.455e-01 1.545e-01
4.070e-01 2.980e-02 9.702e-01 1.000e+00 0.000e+00
4.095e-01 3.218e-02 9.678e-01 1.000e+00 0.000e+00
4.121e-01 3.478e-02 9.652e-01 1.000e+00 0.000e+00
4.146e-01 3.764e-02 9.624e-01 1.000e+00 0.000e+00
4.171e-01 4.078e-02 9.592e-01 1.000e+00 0.000e+00
4.196e-01 4.423e-02 9.558e-01 1.000e+00 0.000e+00
4.221e-01 4.803e-02 9.520e-01 1.000e+00 0.000e+00
4.246e-01 5.222e-02 9.478e-01 1.000e+00 0.000e+00
4.271e-01 5.684e-02 9.432e-01 1.000e+00 0.000e+00
4.296e-01 6.194e-02 9.381e-01 1.000e+00 0.000e+00
4.322e-01 6.756e-02 9.324e-01 1.000e+00 0.000e+00
4.347e-01 7.379e-02 9.262e-01 1.000e+00 0.000e+00
4.372e-01 8.067e-02 9.193e-01 1.000e+00 0.000e+00
4.397e-01 8.830e-02 9.117e-01 1.000e+00 0.000e+00
4.422e-01 9.675e-02 9.033e-01 1.000e+00 0.000e+00
4.447e-01 1.061e-01 8.939e-01 1.000e+00 0.000e+00
4.472e-01 1.165e-01 8.835e-01 1.000e+00 0.000e+00
4.497e-01 1.281e-01 8.719e-01 1.000e+00 0.000e+00
4.523e-01 1.409e-01 8.591e-01 1.000e+00 0.000e+00
4.548e-01 1.552e-01 8.448e-01 1.000e+00 0.000e+00
4.573e-01 1.711e-01 8.289e-01 1.000e+00 0.000e+00
4.598e-01 1.888e-01 8.112e-01 1.000e+00 0.000e+00
4.623e-01 2.085e-01 7.915e-01 1.000e+00 0.000e+00
4.648e-01 2.304e-01 7.696e-01 1.000e+00 0.000e+00
4.673e-01 2.549e-01 7.451e-01 1.000e+00 0.000e+00
4.698e-01 2.822e-01 7.178e-01 1.000e+00 0.000e+00
4.724e-01 3.127e-01 6.873e-01 1.000e+00 0.000e+00
4.749e-01 3.467e-01 6.533e-01 1.000e+00 0.000e+00
4.774e-01 3.846e-01 6.154e-01 1.000e+00 0.000e+00
4.799e-01 4.270e-01 5.730e-01 1.000e+00 0.000e+00
4.824e-01 4.742e-01 5.258e-01 1.000e+00 0.000e+00
4.849e-01 5.270e-01 4.730e-01 1.000e+00 0.000e+00
4.874e-01 5.859e-01 4.141e-01 1.000e+00 0.000e+00
4.899e-01 6.517e-01 3.483e-01 1.000e+00 0.000e+00
4.925e-01 7.251e-01 2.749e-01 1.000e+00 0.000e+00
4.950e-01 8.069e-01 1.931e-01 1.000e+00 0.000e+00
4.975e-01 8.982e-01 1.018e-01 1.000e+00 0.000e+00
5.000e-01 1.000e+00 7.772e-16 1.000e+00 0.000e+00
